location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
542|BEDOK NTH ST 3,542,BEDOK NTH ST 3,exact_building,542 BEDOK NORTH STREET 3 BEDOK NORTH GREEN SINGAPORE 460542,BEDOK NORTH,572.8491153832765,True,572.8491153832765
546|BEDOK NTH ST 3,546,BEDOK NTH ST 3,exact_building,546 BEDOK NORTH STREET 3 BEDOK NORTH GREEN SINGAPORE 460546,BEDOK NORTH,816.0010426210525,True,816.0010426210525
619|BEDOK RESERVOIR RD,619,BEDOK RESERVOIR RD,exact_building,619 BEDOK RESERVOIR ROAD EUNOS HEIGHTS SINGAPORE 470619,BEDOK NORTH,108.72147696273942,True,108.72147696273942
44|BEDOK STH RD,44,BEDOK STH RD,exact_building,44 BEDOK SOUTH ROAD BEDOK SOUTH PARKVIEW SINGAPORE 460044,TANAH MERAH,785.7302175719188,True,785.7302175719188
720|BEDOK RESERVOIR RD,720,BEDOK RESERVOIR RD,exact_building,720 BEDOK RESERVOIR ROAD BEDOK RESERVOIR GARDEN SINGAPORE 470720,BEDOK NORTH,663.3671574415678,True,663.3671574415678
624|BEDOK RESERVOIR RD,624,BEDOK RESERVOIR RD,exact_building,624 BEDOK RESERVOIR ROAD EUNOS HEIGHTS SINGAPORE 470624,BEDOK NORTH,157.59486945526726,True,157.59486945526726
147|BEDOK RESERVOIR RD,147,BEDOK RESERVOIR RD,exact_building,147 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470147,KAKI BUKIT,268.16117305845654,True,268.16117305845654
516|BEDOK NTH AVE 2,516,BEDOK NTH AVE 2,exact_building,516 BEDOK NORTH AVENUE 2 KAKI BUKIT GREEN SINGAPORE 460516,BEDOK RESERVOIR,667.6594007530354,True,667.6594007530354
60|NEW UPP CHANGI RD,60,NEW UPP CHANGI RD,exact_building,60 NEW UPPER CHANGI ROAD SINGAPORE 461060,TANAH MERAH,701.350438365149,True,701.350438365149
155|BEDOK STH AVE 3,155,BEDOK STH AVE 3,exact_building,155 BEDOK SOUTH AVENUE 3 SIGLAP EAST SINGAPORE 460155,BAYSHORE,676.981372081926,True,676.981372081926
162|BEDOK STH RD,162,BEDOK STH RD,exact_building,162 BEDOK SOUTH ROAD SIGLAP EAST SINGAPORE 460162,BAYSHORE,779.9083358952386,True,779.9083358952386
302|SHUNFU RD,302,SHUNFU RD,exact_building,302 SHUNFU ROAD SHUNFU GARDENS SINGAPORE 570302,MARYMOUNT,42.383752328229725,True,42.383752328229725
109|BISHAN ST 12,109,BISHAN ST 12,exact_building,109 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570109,BISHAN,427.0522367140207,True,427.0522367140207
108|BISHAN ST 12,108,BISHAN ST 12,exact_building,108 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570108,BISHAN,439.6571347833883,True,439.6571347833883
340|BT BATOK ST 34,340,BT BATOK ST 34,exact_building,340 BUKIT BATOK STREET 34 SINGAPORE 650340,BUKIT GOMBAK,504.4601355793756,True,504.4601355793756
